,yr_id,full_name,jobs
,2050,Government,27
,2050,Office Services,89
,2050,Leisure and Hospitality,71
,2050,Education and Healthcare,99
,2050,Professional and Business Services,45
,2050,Finance and Real Estate,86
,2050,Information,48
,2050,"Transporation, Warehousing, and Utilities",53
,2050,Retail Trade,52
,2050,Wholesale Trade,46
,2050,Manufacturing,76
,2050,Construction,33
,2050,Agriculture and Mining,85
,2050,Military,53
,2045,Self-Employed,83
,2045,Government,99
,2045,Office Services,75
,2045,Leisure and Hospitality,83
,2045,Education and Healthcare,95
,2045,Professional and Business Services,54
,2045,Finance and Real Estate,100
,2045,Information,39
,2045,"Transporation, Warehousing, and Utilities",23
,2045,Retail Trade,61
,2045,Wholesale Trade,96
,2045,Manufacturing,29
,2045,Construction,58
,2045,Agriculture and Mining,45
,2045,Military,27
,2040,Self-Employed,80
,2040,Government,68
,2040,Office Services,64
,2040,Leisure and Hospitality,82
,2040,Education and Healthcare,31
,2040,Professional and Business Services,22
,2040,Finance and Real Estate,47
,2040,Information,91
,2040,"Transporation, Warehousing, and Utilities",40
,2040,Retail Trade,72
,2040,Wholesale Trade,42
,2040,Manufacturing,48
,2040,Construction,52
,2040,Agriculture and Mining,76
,2040,Military,56
,2035,Self-Employed,64
,2035,Government,99
,2035,Office Services,65
,2035,Leisure and Hospitality,34
,2035,Education and Healthcare,75
,2035,Professional and Business Services,65
,2035,Finance and Real Estate,75
,2035,Information,35
,2035,"Transporation, Warehousing, and Utilities",74
,2035,Retail Trade,33
,2035,Wholesale Trade,69
,2035,Manufacturing,50
,2035,Construction,61
,2035,Agriculture and Mining,82
,2035,Military,98
,2030,Self-Employed,62
,2030,Government,49
,2030,Office Services,59
,2030,Leisure and Hospitality,34
,2030,Education and Healthcare,48
,2030,Professional and Business Services,46
,2030,Finance and Real Estate,37
,2030,Information,48
,2030,"Transporation, Warehousing, and Utilities",66
,2030,Retail Trade,74
,2030,Wholesale Trade,30
,2030,Manufacturing,89
,2030,Construction,60
,2030,Agriculture and Mining,61
,2030,Military,75
,2025,Self-Employed,38
,2025,Government,81
,2025,Office Services,91
,2025,Leisure and Hospitality,78
,2025,Education and Healthcare,64
,2025,Professional and Business Services,88
,2025,Finance and Real Estate,55
,2025,Information,50
,2025,"Transporation, Warehousing, and Utilities",41
,2050,Self-Employed,61
,2025,Retail Trade,37
,2025,Wholesale Trade,40
,2025,Manufacturing,92
,2025,Construction,98
,2025,Agriculture and Mining,50
,2025,Military,21
,2020,Self-Employed,100
,2020,Government,54
,2020,Office Services,68
,2020,Leisure and Hospitality,41
,2020,Education and Healthcare,32
,2020,Professional and Business Services,37
,2020,Finance and Real Estate,30
,2020,Information,67
,2020,"Transporation, Warehousing, and Utilities",77
,2020,Retail Trade,81
,2020,Wholesale Trade,58
,2020,Manufacturing,30
,2020,Construction,90
,2020,Agriculture and Mining,82
,2020,Military,60
,2015,Self-Employed,31
,2015,Government,95
,2015,Office Services,27
,2015,Leisure and Hospitality,25
,2015,Education and Healthcare,48
,2015,Professional and Business Services,66
,2015,Finance and Real Estate,43
,2015,Information,64
,2015,"Transporation, Warehousing, and Utilities",23
,2015,Retail Trade,60
,2015,Wholesale Trade,64
,2015,Manufacturing,97
,2015,Construction,85
,2015,Agriculture and Mining,51
,2015,Military,51
,2008,Self-Employed,81
,2008,Government,22
,2008,Office Services,35
,2008,Leisure and Hospitality,22
,2008,Education and Healthcare,64
,2008,Professional and Business Services,84
,2008,Finance and Real Estate,62
,2008,Information,62
,2008,"Transporation, Warehousing, and Utilities",26
,2008,Retail Trade,50
,2008,Wholesale Trade,53
,2008,Manufacturing,69
,2008,Construction,51
,2008,Agriculture and Mining,57
,2008,Military,33
,2050,Self-Employed,77
,2050,Government,53
,2050,Office Services,52
,2050,Leisure and Hospitality,83
,2050,Education and Healthcare,65
,2050,Professional and Business Services,63
,2050,Finance and Real Estate,70
,2050,Information,96
,2050,"Transporation, Warehousing, and Utilities",52
,2050,Retail Trade,93
,2050,Wholesale Trade,99
,2050,Manufacturing,57
,2050,Construction,91
,2050,Agriculture and Mining,67
,2050,Military,47
,2045,Self-Employed,86
,2045,Government,70
,2045,Office Services,87
,2045,Leisure and Hospitality,58
,2045,Education and Healthcare,26
,2045,Professional and Business Services,71
,2045,Finance and Real Estate,80
,2045,Information,82
,2045,"Transporation, Warehousing, and Utilities",79
,2045,Retail Trade,95
,2045,Wholesale Trade,78
,2045,Manufacturing,47
,2045,Construction,57
,2045,Agriculture and Mining,33
,2045,Military,99
,2040,Self-Employed,26
,2040,Government,40
,2040,Office Services,85
,2040,Leisure and Hospitality,32
,2040,Education and Healthcare,53
,2040,Professional and Business Services,73
,2040,Finance and Real Estate,97
,2040,Information,97
,2040,"Transporation, Warehousing, and Utilities",29
,2040,Retail Trade,96
,2040,Wholesale Trade,52
,2040,Manufacturing,23
,2040,Construction,65
,2040,Agriculture and Mining,62
,2040,Military,45
,2035,Self-Employed,88
,2035,Government,75
,2035,Office Services,46
,2035,Leisure and Hospitality,71
,2035,Education and Healthcare,92
,2035,Professional and Business Services,23
,2035,Finance and Real Estate,63
,2035,Information,38
,2035,"Transporation, Warehousing, and Utilities",92
,2035,Retail Trade,45
,2035,Wholesale Trade,71
,2035,Manufacturing,72
,2035,Construction,53
,2035,Agriculture and Mining,56
,2035,Military,82
,2030,Self-Employed,72
,2030,Government,84
,2030,Office Services,43
,2030,Leisure and Hospitality,57
,2030,Education and Healthcare,37
,2030,Professional and Business Services,38
,2030,Finance and Real Estate,51
,2030,Information,64
,2030,"Transporation, Warehousing, and Utilities",73
,2030,Retail Trade,69
,2030,Wholesale Trade,58
