job_title,company_name,location,ctc,experience,posted
Business Development Associate,Break The Code,Mumbai,"₹ 2,00,000 - 3,00,000",0-1 years,3 days ago
IELTS/PTE/Spoken English Trainer,DePioneer Education Overseas,Delhi,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago
Fashion Designer,Valkyre Clothing,Mumbai,"₹ 3,00,000 - 3,50,000",0-2 years,"3 days ago


Be an early applicant"
Corporate Sales Executive,Kompass India Information Private Limited,Mumbai,"₹ 2,00,000 - 4,00,000",0-5 years,3 weeks ago
Junior Python Developer,Extension Technologies Private Limited,Faridabad,"₹ 2,40,000 - 3,60,000",0-2 years,2 weeks ago
Social Media Manager,Brilliance Academy,Work from home,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Video Editor & Graphic Designer,Brilliance Academy,Work from home,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Business Development Executive,Physics Wallah,Kozhikode,"₹ 2,00,000 - 2,50,000",0-1 years,"1 day ago


Be an early applicant"
Sales Associate,PolicyBazaar.com,Gurgaon,"₹ 2,52,000 - 4,00,000",0-4 years,4 days ago
Domain Specialist Company Secretary,ClearTax,Bangalore,"₹ 7,00,000 - 10,00,000",0-2 years,2 days ago
Senior Tax Expert- Semi CA,ClearTax,"Delhi, Bangalore","₹ 5,00,000 - 8,00,000",1-3 years,2 days ago
Customer Success Manager,ClearTax,Bangalore,"₹ 4,00,000 - 7,00,000",0-5 years,2 days ago
Inside Sales Manager,ClearTax,Bangalore,"₹ 3,00,000 - 5,00,000",1-5 years,2 days ago
Data Analyst,Media.net,Mumbai,"₹ 4,00,000 - 5,00,000",1 year,6 days ago
Copywriter/Creative Strategist,Hansa Cequity,Mumbai,"₹ 2,00,000 - 5,00,000",1-5 years,1 week ago
HTML Developer,Hansa Cequity,Mumbai,"₹ 2,00,000 - 3,50,000",1-3 years,1 week ago
Trainee Business Associate,Porter,Nashik,"₹ 2,75,000",0-2 years,3 weeks ago
Associate Product Manager,Cardekho.com,Jaipur,"₹ 5,00,000 - 7,00,000",0-5 years,Few hours ago
Finance Teacher,BrightChamps Tech Private Limited,Work from home,"₹ 3,00,000",0-2 years,Few hours ago
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 2,10,000 - 2,17,995",0-2 years,Few hours ago
Corporate Sales Executive,Godrej Properties Limited,Pune,"₹ 5,00,000 - 10,00,000",0-5 years,Few hours ago
Content Writer,College Dunia,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,Today
Junior Operations Associate,Frontier,Work from home,"₹ 2,00,000 - 3,60,000",0-2 years,1 day ago
Business Development Trainee,Kalvium,Bangalore,"₹ 5,00,000",0-5 years,1 day ago
US IT Recruiter,Spectraforce Technologies,Mohali,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago
Business Development Associate,Urban Company,Delhi,"₹ 2,50,000 - 3,00,000",0-2 years,2 days ago
